wavelengthmicrons,Reindex,Imindex
0.832477,1.54101,0.975526
0.830769,1.54286,0.973317
0.83,1.5437,0.972327
0.829069,1.54471,0.971131
0.827375,1.54653,0.968967
0.825688,1.54835,0.966825
0.824008,1.55016,0.964705
0.822335,1.55195,0.962606
0.820669,1.55373,0.960529
0.82,1.55445,0.959698
0.819009,1.5555,0.958472
0.817356,1.55726,0.956436
0.81571,1.55901,0.954421
0.81407,1.56074,0.952426
0.812437,1.56246,0.950451
0.810811,1.56417,0.948496
0.81,1.56502,0.947526
0.809191,1.56587,0.94656
0.807577,1.56755,0.944644
0.80597,1.56923,0.942747
0.804369,1.57089,0.940868
0.802775,1.57254,0.939008
0.801187,1.57418,0.937167
0.8,1.5754,0.935797
0.799605,1.57581,0.935343
0.79803,1.57742,0.933538
0.79646,1.57903,0.93175
0.794897,1.58062,0.92998
0.79334,1.5822,0.928227
0.791789,1.58377,0.926491
0.790244,1.58533,0.924772
0.79,1.58557,0.924501
0.788705,1.58687,0.923069
0.787172,1.58841,0.921383
0.785645,1.58993,0.919714
0.784124,1.59144,0.91806
0.782609,1.59294,0.916423
0.781099,1.59443,0.9148
0.78,1.59551,0.913625
0.779596,1.59591,0.913194
0.778098,1.59738,0.911603
0.776606,1.59883,0.910026
0.77512,1.60027,0.908465
0.773639,1.60171,0.906919
0.772164,1.60313,0.905387
0.770695,1.60454,0.903869
0.77,1.60521,0.903155
0.769231,1.60594,0.902366
0.767773,1.60733,0.900877
0.76632,1.60871,0.899401
0.764873,1.61007,0.89794
0.763431,1.61143,0.896491
0.761994,1.61278,0.895057
0.760563,1.61411,0.893635
0.76,1.61464,0.893078
0.759138,1.61544,0.892227
0.757717,1.61675,0.890831
0.756303,1.61805,0.889448
0.754893,1.61935,0.888078
0.753488,1.62063,0.88672
0.752089,1.6219,0.885374
0.750695,1.62316,0.884041
0.75,1.62379,0.883378
0.749306,1.62441,0.882719
0.747922,1.62565,0.881409
0.746544,1.62688,0.880111
0.74517,1.62811,0.878825
0.743802,1.62932,0.87755
0.742438,1.63052,0.876286
0.74108,1.63171,0.875033
0.74,1.63265,0.874042
0.739726,1.63289,0.873792
0.738377,1.63406,0.872561
0.737034,1.63522,0.871341
0.735695,1.63637,0.870131
0.734361,1.63751,0.868932
0.733032,1.63864,0.867744
0.731707,1.63977,0.866566
0.730388,1.64088,0.865397
0.73,1.64121,0.865055
0.729073,1.64198,0.864239
0.727763,1.64308,0.863091
0.726457,1.64416,0.861952
