wavelengthmicrons,Reindex,Imindex
2,3.1447,0.29953
1.99017,3.14643,0.302188
1.99,3.14646,0.302234
1.98044,3.14816,0.30487
1.98,3.14824,0.304992
1.9708,3.1499,0.307577
1.97,3.15004,0.307805
1.96126,3.15164,0.31031
1.96,3.15187,0.310674
1.95181,3.15337,0.313068
1.95,3.15371,0.313602
1.94245,3.15511,0.315853
1.94,3.15557,0.31659
1.93317,3.15686,0.318665
1.93,3.15746,0.31964
1.92399,3.1586,0.321504
1.92,3.15936,0.322755
1.91489,3.16034,0.32437
1.91,3.16129,0.325935
1.90588,3.16209,0.327264
1.9,3.16324,0.329184
1.89696,3.16384,0.330187
1.89,3.16521,0.332503
1.88811,3.16558,0.333138
1.88,3.1672,0.335895
1.87935,3.16733,0.336118
1.87067,3.16908,0.339127
1.87,3.16922,0.339362
1.86207,3.17083,0.342166
1.86,3.17125,0.342906
1.85355,3.17258,0.345236
1.85,3.17331,0.346531
1.8451,3.17433,0.348336
1.84,3.17539,0.350239
1.83673,3.17607,0.351468
1.83,3.17749,0.354032
1.82844,3.17782,0.354631
1.82022,3.17957,0.357826
1.82,3.17962,0.357914
1.81208,3.18131,0.361053
1.81,3.18176,0.361887
1.80401,3.18306,0.364313
1.8,3.18393,0.365955
1.79601,3.1848,0.367606
1.79,3.18612,0.370122
1.78808,3.18654,0.370933
1.78022,3.18828,0.374294
1.78,3.18833,0.374389
1.77243,3.19002,0.37769
1.77,3.19056,0.378762
1.76471,3.19175,0.381121
1.76,3.19281,0.383244
1.75705,3.19348,0.384587
1.75,3.19508,0.387838
1.74946,3.1952,0.388089
1.74194,3.19693,0.391627
1.74,3.19737,0.392548
1.73448,3.19864,0.395202
1.73,3.19968,0.39738
1.72708,3.20035,0.398815
1.72,3.202,0.402337
1.71975,3.20206,0.402465
1.71247,3.20376,0.406153
1.71,3.20434,0.407423
1.70526,3.20546,0.409879
1.7,3.2067,0.412644
1.69811,3.20714,0.413645
1.69102,3.20882,0.41745
1.69,3.20907,0.418004
1.68399,3.2105,0.421294
1.68,3.21145,0.423509
1.67702,3.21216,0.425179
1.6701,3.21382,0.429105
1.67,3.21384,0.429164
1.66324,3.21546,0.433072
1.66,3.21624,0.434975
1.65644,3.2171,0.437081
1.65,3.21865,0.440946
1.64969,3.21872,0.441131
1.643,3.22034,0.445224
1.64,3.22106,0.447085
1.63636,3.22194,0.44936
1.63,3.22348,0.453397
1.62978,3.22353,0.453539
1.62325,3.22511,0.457762
1.62,3.22589,0.45989
1.61677,3.22667,0.462029
1.61034,3.22822,0.46634
1.61,3.2283,0.466569
1.60396,3.22975,0.470696
1.6,3.2307,0.473442
1.59763,3.23127,0.475097
1.59136,3.23276,0.479544
1.59,3.23309,0.480515
1.58513,3.23425,0.484037
1.58,3.23546,0.487797
1.57895,3.23571,0.488576
1.57282,3.23715,0.493162
1.57,3.23781,0.495296
1.56673,3.23858,0.497795
1.56069,3.23998,0.502475
1.56,3.24014,0.503018
1.5547,3.24136,0.507203
1.55,3.24243,0.510973
1.54876,3.24272,0.511978
1.54286,3.24405,0.516802
1.54,3.24469,0.519168
1.537,3.24536,0.521674
1.53119,3.24664,0.526595
1.53,3.2469,0.527614
1.52542,3.2479,0.531564
1.52,3.24906,0.536317
1.5197,3.24913,0.536583
1.51402,3.25033,0.541651
1.51,3.25116,0.545289
1.50838,3.2515,0.546768
1.50278,3.25263,0.551935
1.5,3.25319,0.554538
1.49723,3.25374,0.557152
1.49171,3.25481,0.562419
1.49,3.25514,0.564073
1.48624,3.25585,0.567735
1.4808,3.25685,0.573102
1.48,3.257,0.573904
1.47541,3.25782,0.578519
1.47005,3.25875,0.583985
1.47,3.25876,0.584041
1.46474,3.25963,0.589502
1.46,3.2604,0.594494
1.45946,3.26048,0.595069
1.45422,3.26129,0.600685
1.45,3.26191,0.605273
1.44902,3.26205,0.606351
1.44385,3.26277,0.612067
1.44,3.26328,0.616387
1.43872,3.26344,0.617833
1.43363,3.26407,0.623647
1.43,3.26448,0.627845
1.42857,3.26464,0.629511
1.42355,3.26517,0.635423
1.41856,3.26564,0.641384
1.41361,3.26607,0.647393
1.4087,3.26644,0.65345
1.40381,3.26675,0.659553
1.39896,3.26701,0.665704
1.39415,3.2672,0.671901
1.38937,3.26734,0.678143
1.38462,3.26742,0.684431
1.3799,3.26743,0.690762
1.37521,3.26738,0.697138
1.37056,3.26727,0.703557
1.36594,3.26708,0.710017
1.36134,3.26683,0.716519
1.35678,3.26651,0.723062
1.35225,3.26612,0.729644
1.34775,3.26565,0.736264
1.34328,3.26512,0.742922
1.34,3.26467,0.747864
1.33884,3.2645,0.749616
1.33443,3.26381,0.756345
1.33005,3.26304,0.763109
1.33,3.26303,0.763185
1.3257,3.26219,0.769905
1.32137,3.26125,0.776732
1.32,3.26094,0.778911
1.31707,3.26024,0.78359
1.3128,3.25914,0.790476
1.31,3.25837,0.795038
1.30856,3.25796,0.797389
1.30435,3.25669,0.804328
1.30016,3.25533,0.811291
1.3,3.25528,0.811559
1.296,3.25388,0.818277
1.29187,3.25235,0.825283
1.29,3.25162,0.828467
1.28776,3.25072,0.832308
1.28368,3.249,0.839351
1.28,3.24736,0.845747
1.27962,3.24719,0.846409
1.27559,3.24528,0.853481
1.27159,3.24328,0.860564
1.27,3.24245,0.863383
1.26761,3.24118,0.867657
1.26365,3.23898,0.874757
1.26,3.23686,0.881356
1.25972,3.23669,0.881864
1.25581,3.2343,0.888974
1.25193,3.23181,0.896085
1.25,3.23052,0.89964
1.24807,3.22921,0.903195
1.24424,3.22652,0.910303
1.24043,3.22373,0.917405
1.24,3.22341,0.918206
1.23664,3.22084,0.9245
1.23288,3.21784,0.931585
1.23,3.21547,0.93702
1.22914,3.21475,0.938657
1.22542,3.21155,0.945716
1.22172,3.20824,0.952757
1.22,3.20667,0.956041
1.21805,3.20484,0.959779
1.21439,3.20133,0.96678
1.21076,3.19772,0.973757
1.21,3.19695,0.975224
1.20715,3.19401,0.980707
1.20357,3.1902,0.987628
1.2,3.18628,0.994518
1.2,3.18628,0.994518
1.19645,3.18227,1.00137
1.19293,3.17815,1.00819
1.19,3.17463,1.01387
1.18943,3.17393,1.01497
1.18594,3.16962,1.02171
1.18248,3.1652,1.02841
1.18,3.16196,1.03321
1.17904,3.16069,1.03506
1.17562,3.15607,1.04166
1.17221,3.15137,1.04822
1.17,3.14824,1.05247
1.16883,3.14656,1.05471
1.16547,3.14166,1.06116
1.16212,3.13667,1.06754
1.16,3.13344,1.07159
1.1588,3.13159,1.07387
1.15549,3.12642,1.08013
1.1522,3.12115,1.08633
1.15,3.11756,1.09048
1.14894,3.1158,1.09247
1.14569,3.11037,1.09853
1.14245,3.10484,1.10453
1.14,3.10057,1.10906
1.13924,3.09924,1.11045
1.13604,3.09355,1.1163
1.13287,3.08779,1.12208
1.13,3.08249,1.12725
1.12971,3.08195,1.12777
1.12656,3.07603,1.13339
1.12344,3.07003,1.13892
1.12033,3.06397,1.14438
1.12,3.06332,1.14495
1.11724,3.05784,1.14974
1.11417,3.05163,1.15503
1.11111,3.04537,1.16022
1.11,3.04306,1.1621
1.10807,3.03904,1.16533
1.10505,3.03264,1.17035
1.10204,3.02619,1.17527
1.1,3.02176,1.17858
1.09905,3.01968,1.18011
1.09608,3.01312,1.18485
1.09312,3.0065,1.1895
1.09017,2.99984,1.19406
1.09,2.99944,1.19432
1.08725,2.99313,1.19851
1.08434,2.98637,1.20288
1.08144,2.97957,1.20714
1.08,2.97615,1.20924
1.07856,2.97273,1.21131
1.0757,2.96585,1.21539
1.07285,2.95893,1.21936
1.07001,2.95198,1.22323
1.07,2.95195,1.22325
1.06719,2.945,1.22701
1.06439,2.93799,1.23069
1.0616,2.93095,1.23427
1.06,2.92689,1.23628
1.05882,2.92389,1.23775
1.05606,2.91681,1.24113
1.05332,2.90971,1.24441
1.05058,2.90259,1.2476
1.05,2.90106,1.24827
1.04787,2.89545,1.25069
1.04516,2.8883,1.25367
1.04247,2.88114,1.25657
1.04,2.87452,1.25915
1.03979,2.87397,1.25936
1.03713,2.86679,1.26206
1.03448,2.85961,1.26466
1.03185,2.85243,1.26717
1.03,2.84737,1.26887
1.02922,2.84524,1.26958
1.02662,2.83806,1.27189
1.02402,2.83088,1.27412
1.02144,2.8237,1.27625
1.02,2.8197,1.2774
1.01887,2.81654,1.27829
1.01631,2.80937,1.28024
1.01377,2.80222,1.2821
1.01124,2.79508,1.28387
1.01,2.79159,1.28471
1.00872,2.78796,1.28556
1.00621,2.78085,1.28715
1.00372,2.77375,1.28866
1.00124,2.76668,1.29009
1,2.76314,1.29077
0.998767,2.75962,1.29144
0.99631,2.75258,1.2927
0.993865,2.74557,1.29388
0.991432,2.73858,1.29498
0.99,2.73446,1.29559
0.989011,2.73161,1.296
0.986602,2.72467,1.29694
0.984204,2.71775,1.29781
0.981818,2.71087,1.2986
0.98,2.70562,1.29916
0.979444,2.70401,1.29932
0.977081,2.69718,1.29997
0.974729,2.69038,1.30054
0.972389,2.68362,1.30105
0.97006,2.67689,1.30149
0.97,2.67671,1.3015
0.967742,2.67019,1.30186
0.965435,2.66352,1.30216
0.963139,2.65689,1.3024
0.960854,2.6503,1.30258
0.96,2.64783,1.30263
0.95858,2.64374,1.30269
0.956316,2.63722,1.30275
0.954064,2.63073,1.30274
0.951821,2.62429,1.30268
0.95,2.61905,1.30258
0.94959,2.61788,1.30256
0.947368,2.61151,1.30238
0.945158,2.60517,1.30215
0.942957,2.59888,1.30187
0.940767,2.59263,1.30153
0.94,2.59044,1.3014
0.938586,2.58642,1.30114
0.936416,2.58024,1.30071
0.934256,2.57411,1.30022
